month,state,totals
2018-05,Kentucky,395487
2018-05,Louisiana,20265
2018-05,Maine,6847
2018-05,Mariana Islands,13
2018-05,Maryland,11990
2018-05,Massachusetts,18574
2018-05,Michigan,35563
2018-05,Minnesota,47533
2018-05,Mississippi,15999
2018-05,Missouri,31607
2018-05,Montana,8952
2018-05,Nebraska,5165
2018-05,Nevada,10327
2018-05,New Hampshire,9875
2018-05,New Jersey,8037
2018-05,New Mexico,11432
2018-05,New York,25621
2018-05,North Carolina,43211
2018-05,North Dakota,4539
2018-05,Ohio,51734
2018-05,Oklahoma,21697
2018-05,Oregon,28305
2018-05,Pennsylvania,75296
2018-05,Puerto Rico,2616
2018-05,Rhode Island,1887
2018-05,South Carolina,17103
2018-05,South Dakota,5720
2018-05,Tennessee,50613
2018-05,Texas,111159
2018-05,Utah,31638
2018-05,Vermont,2818
2018-05,Virgin Islands,136
2018-05,Virginia,32135
2018-05,Washington,46008
2018-05,West Virginia,17108
2018-05,Wisconsin,28841
2018-05,Wyoming,4820
2018-04,Alabama,34915
2018-04,Alaska,7367
2018-04,Arizona,31658
2018-04,Arkansas,18240
2018-04,California,121478
2018-04,Colorado,47462
2018-04,Connecticut,15269
2018-04,Delaware,4988
2018-04,District of Columbia,321
2018-04,Florida,102426
2018-04,Georgia,43671
2018-04,Guam,155
2018-04,Hawaii,1393
2018-04,Idaho,16974
2018-04,Illinois,238774
2018-04,Indiana,78367
2018-04,Iowa,17457
2018-04,Kansas,13184
2018-04,Kentucky,409485
2018-04,Louisiana,22491
2018-04,Maine,8745
2018-04,Mariana Islands,22
2018-04,Maryland,14105
2018-04,Massachusetts,17983
2018-04,Michigan,44190
2018-04,Minnesota,64410
2018-04,Mississippi,17470
2018-04,Missouri,38859
2018-04,Montana,9795
2018-04,Nebraska,6643
2018-04,Nevada,11470
2018-04,New Hampshire,11372
2018-04,New Jersey,8958
2018-04,New Mexico,12859
2018-04,New York,33326
2018-04,North Carolina,47770
2018-04,North Dakota,5793
2018-04,Ohio,65456
2018-04,Oklahoma,25345
2018-04,Oregon,32494
2018-04,Pennsylvania,91401
2018-04,Puerto Rico,2224
2018-04,Rhode Island,2332
2018-04,South Carolina,19286
2018-04,South Dakota,7040
2018-04,Tennessee,53166
2018-04,Texas,114704
2018-04,Utah,29213
2018-04,Vermont,5081
2018-04,Virgin Islands,133
2018-04,Virginia,37720
2018-04,Washington,51693
2018-04,West Virginia,22379
2018-04,Wisconsin,41542
2018-04,Wyoming,5065
2018-03,Alabama,50610
2018-03,Alaska,7800
2018-03,Arizona,41551
2018-03,Arkansas,24492
2018-03,California,136228
2018-03,Colorado,61839
2018-03,Connecticut,18091
2018-03,Delaware,6298
2018-03,District of Columbia,381
2018-03,Florida,137997
2018-03,Georgia,67791
2018-03,Guam,146
2018-03,Hawaii,1420
2018-03,Idaho,24342
2018-03,Illinois,271714
2018-03,Indiana,121376
2018-03,Iowa,21697
