month,state,killed,injured
2015-04,Arkansas,,
2015-03,Arkansas,,
2015-02,Arkansas,,
2015-01,Arkansas,,
2014-12,Arkansas,,
2014-11,Arkansas,,
10-Sep-,California,0,1
16-Aug-,California,0,1
15-Jun-,California,0,1
29-Apr-,California,0,1
30-Mar-,California,0,1
13-Mar-,California,0,1
1-Feb-01,California,0,2
14-Dec-,California,0,1
23-Jul-,California,0,2
18-Jun-,California,0,1
12-Apr-,California,0,1
29-Mar-,California,0,1
27-Mar-,California,0,1
26-Mar-,California,0,1
22-Feb-,California,0,1
12-Feb-,California,0,1
28-Nov-,California,0,1
15-Sep-,California,0,1
10-Apr-,California,0,2
5-Apr-01,California,0,1
28-Dec-,California,0,1
27-Dec-,California,0,1
23-Dec-,California,0,1
5-Dec-01,California,0,1
7-Oct-01,California,0,1
19-Aug-,California,0,1
26-Jun-,California,0,1
28-May-,California,0,1
4-May-01,California,0,1
2-May-01,California,0,2
6-Mar-01,California,0,1
5-Mar-01,California,0,1
14-Feb-,California,0,1
18-Jan-,California,0,1
2018-09,California,,
2018-08,California,,
2018-07,California,,
2018-06,California,,
2018-05,California,,
2018-04,California,,
2018-03,California,,
2018-02,California,,
2018-01,California,,
2017-12,California,,
2017-11,California,,
2017-10,California,,
2017-09,California,,
2017-08,California,,
2017-07,California,,
2017-06,California,,
2017-05,California,,
2017-04,California,,
2017-03,California,,
2017-02,California,,
2017-01,California,,
2016-12,California,,
2016-11,California,,
2016-10,California,,
2016-09,California,,
2016-08,California,,
2016-07,California,,
2016-06,California,,
2016-05,California,,
2016-04,California,,
2016-03,California,,
2016-02,California,,
2016-01,California,,
2015-12,California,,
2015-11,California,,
2015-10,California,,
2015-09,California,,
2015-08,California,,
2015-07,California,,
2015-06,California,,
2015-05,California,,
2015-04,California,,
2015-03,California,,
2015-02,California,,
2015-01,California,,
2014-12,California,,
2014-11,California,,
26-Jun-,Colorado,0,1
8-Jan-01,Colorado,0,1
30-Oct-,Colorado,0,1
2-Sep-01,Colorado,0,1
11-Aug-,Colorado,0,1
26-May-,Colorado,0,1
18-Mar-,Colorado,0,1
31-Aug-,Colorado,0,1
14-Jul-,Colorado,0,1
10-Apr-,Colorado,0,1
21-Jan-,Colorado,0,1
9-Jul-01,Colorado,0,1
2018-09,Colorado,,
2018-08,Colorado,,
2018-07,Colorado,,
2018-06,Colorado,,
2018-05,Colorado,,
2018-04,Colorado,,
2018-03,Colorado,,
2018-02,Colorado,,
2018-01,Colorado,,
2017-12,Colorado,,
2017-11,Colorado,,
2017-10,Colorado,,
2017-09,Colorado,,
2017-08,Colorado,,
2017-07,Colorado,,
2017-06,Colorado,,
2017-05,Colorado,,
2017-04,Colorado,,
2017-03,Colorado,,
2017-02,Colorado,,
2017-01,Colorado,,
2016-12,Colorado,,
2016-11,Colorado,,
2016-10,Colorado,,
2016-09,Colorado,,
2016-08,Colorado,,
2016-07,Colorado,,
2016-06,Colorado,,
2016-05,Colorado,,
2016-04,Colorado,,
2016-03,Colorado,,
2016-02,Colorado,,
2016-01,Colorado,,
2015-12,Colorado,,
2015-11,Colorado,,
2015-10,Colorado,,
2015-09,Colorado,,
2015-08,Colorado,,
2015-07,Colorado,,
2015-06,Colorado,,
2015-05,Colorado,,
2015-04,Colorado,,
2015-03,Colorado,,
2015-02,Colorado,,
2015-01,Colorado,,
2014-12,Colorado,,
2014-11,Colorado,,
4-Jul-01,Connecticut,0,1
29-Sep-,Connecticut,0,1
28-Jan-,Connecticut,0,1
25-Nov-,Connecticut,0,1
10-Nov-,Connecticut,0,1
2018-09,Connecticut,,
2018-08,Connecticut,,
2018-07,Connecticut,,
2018-06,Connecticut,,
2018-05,Connecticut,,
2018-04,Connecticut,,
2018-03,Connecticut,,
2018-02,Connecticut,,
2018-01,Connecticut,,
2017-12,Connecticut,,
2017-11,Connecticut,,
2017-10,Connecticut,,
2017-09,Connecticut,,
2017-08,Connecticut,,
2017-07,Connecticut,,
2017-06,Connecticut,,
2017-05,Connecticut,,
2017-04,Connecticut,,
2017-03,Connecticut,,
2017-02,Connecticut,,
2017-01,Connecticut,,
2016-12,Connecticut,,
2016-11,Connecticut,,
2016-10,Connecticut,,
2016-09,Connecticut,,
2016-08,Connecticut,,
2016-07,Connecticut,,
2016-06,Connecticut,,
2016-05,Connecticut,,
2016-04,Connecticut,,
2016-03,Connecticut,,
2016-02,Connecticut,,
2016-01,Connecticut,,
2015-12,Connecticut,,
2015-11,Connecticut,,
2015-10,Connecticut,,
2015-09,Connecticut,,
2015-08,Connecticut,,
2015-07,Connecticut,,
2015-06,Connecticut,,
2015-05,Connecticut,,
2015-04,Connecticut,,
2015-03,Connecticut,,
2015-02,Connecticut,,
2015-01,Connecticut,,
2014-12,Connecticut,,
2014-11,Connecticut,,
9-Oct-01,Delaware,0,1
14-Jun-,Delaware,0,1
2-Jun-01,Delaware,0,1
19-Mar-,Delaware,0,1
2018-09,Delaware,,
2018-08,Delaware,,
2018-07,Delaware,,
2018-06,Delaware,,
2018-05,Delaware,,
2018-04,Delaware,,
2018-03,Delaware,,
2018-02,Delaware,,
2018-01,Delaware,,
2017-12,Delaware,,
2017-11,Delaware,,
2017-10,Delaware,,
2017-09,Delaware,,
2017-08,Delaware,,
2017-07,Delaware,,
2017-06,Delaware,,
2017-05,Delaware,,
2017-04,Delaware,,
2017-03,Delaware,,
2017-02,Delaware,,
2017-01,Delaware,,
2016-12,Delaware,,
2016-11,Delaware,,
2016-10,Delaware,,
2016-09,Delaware,,
2016-08,Delaware,,
2016-07,Delaware,,
2016-06,Delaware,,
2016-05,Delaware,,
2016-04,Delaware,,
2016-03,Delaware,,
2016-02,Delaware,,
2016-01,Delaware,,
2015-12,Delaware,,
2015-11,Delaware,,
2015-10,Delaware,,
2015-09,Delaware,,
2015-08,Delaware,,
2015-07,Delaware,,
2015-06,Delaware,,
2015-05,Delaware,,
2015-04,Delaware,,
2015-03,Delaware,,
2015-02,Delaware,,
2015-01,Delaware,,
2014-12,Delaware,,
2014-11,Delaware,,
6-Apr-01,District of Columbia,0,1
2018-09,District of Columbia,,
2018-08,District of Columbia,,
2018-07,District of Columbia,,
2018-06,District of Columbia,,
2018-05,District of Columbia,,
2018-04,District of Columbia,,
2018-03,District of Columbia,,
2018-02,District of Columbia,,
2018-01,District of Columbia,,
2017-12,District of Columbia,,
2017-11,District of Columbia,,
2017-10,District of Columbia,,
2017-09,District of Columbia,,
2017-08,District of Columbia,,
2017-07,District of Columbia,,
2017-06,District of Columbia,,
2017-05,District of Columbia,,
2017-04,District of Columbia,,
2017-03,District of Columbia,,
2017-02,District of Columbia,,
2017-01,District of Columbia,,
2016-12,District of Columbia,,
2016-11,District of Columbia,,
2016-10,District of Columbia,,
2016-09,District of Columbia,,
2016-08,District of Columbia,,
2016-07,District of Columbia,,
2016-06,District of Columbia,,
2016-05,District of Columbia,,
2016-04,District of Columbia,,
2016-03,District of Columbia,,
2016-02,District of Columbia,,
2016-01,District of Columbia,,
2015-12,District of Columbia,,
2015-11,District of Columbia,,
2015-10,District of Columbia,,
2015-09,District of Columbia,,
2015-08,District of Columbia,,
2015-07,District of Columbia,,
2015-06,District of Columbia,,
2015-05,District of Columbia,,
2015-04,District of Columbia,,
