Date,State,City_country,n_killed,n_injured
21-Jul-14,Tennessee,Memphis,4,0
23-Jul-14,Pennsylvania,Braddock,4,0
25-Jul-14,Illinois,Chicago,6,1
26-Jul-14,Georgia,Sylvester,8,0
26-Jul-14,Arkansas,Pine Bluff,3,1
26-Jul-14,Maine,Saco,0,4
27-Jul-14,Missouri,Saint Louis,5,0
28-Jul-14,Pennsylvania,Philadelphia,4,1
30-Jul-14,North Carolina,Hope Mills,4,2
1-Aug-14,Pennsylvania,Philadelphia,3,1
2-Aug-14,Pennsylvania,Pittsburgh,5,1
2-Aug-14,Massachusetts,New Bedford,7,0
2-Aug-14,Texas,Dallas,1,3
3-Aug-14,Missouri,Saint Louis,5,0
3-Aug-14,Tennessee,Columbia,5,0
3-Aug-14,Texas,Humble,7,0
3-Aug-14,Virginia,Culpeper,0,5
4-Aug-14,Georgia,Atlanta,5,0
6-Aug-14,California,Bakersfield,1,3
8-Aug-14,Wisconsin,Milwaukee,4,0
8-Aug-14,New Mexico,Albuquerque,3,1
8-Aug-14,District of Columbia,Washington,4,0
9-Aug-14,Minnesota,Minneapolis,8,1
10-Aug-14,California,Moreno Valley,7,0
10-Aug-14,Georgia,Wrightsville,6,0
10-Aug-14,District of Columbia,Washington,6,0
10-Aug-14,Louisiana,New Orleans,5,2
12-Aug-14,Georgia,Cartersville,3,1
12-Aug-14,New York,Buffalo,3,1
13-Aug-14,Louisiana,New Orleans,4,0
13-Aug-14,Tennessee,Clarksville,4,0
14-Aug-14,Tennessee,Memphis,3,1
16-Aug-14,Utah,Salt Lake City,6,0
16-Aug-14,New Jersey,Plainfield,3,1
17-Aug-14,Nevada,Las Vegas,4,0
17-Aug-14,New York,Queens,4,0
17-Aug-14,Massachusetts,Boston,4,0
17-Aug-14,California,East Palo Alto,3,1
18-Aug-14,Louisiana,Saint Martinville,4,0
20-Aug-14,Tennessee,Memphis,5,0
24-Aug-14,Illinois,Chicago,3,1
24-Aug-14,Georgia,Augusta,3,1
24-Aug-14,California,San Fernando,5,4
27-Aug-14,Michigan,Detroit,3,1
29-Aug-14,Florida,Brooksville,1,3
31-Aug-14,California,Livermore,5,0
2-Sep-14,California,Highland,5,0
2-Sep-14,Mississippi,Jackson,3,2
3-Sep-14,California,Los Angeles,6,0
4-Sep-14,Michigan,Flint,5,0
6-Sep-14,Georgia,Macon,5,0
6-Sep-14,Florida,Orlando,4,0
11-Sep-14,Michigan,Detroit,7,1
14-Sep-14,Alaska,Anchorage,6,0
14-Sep-14,Texas,Corpus Christi,1,3
14-Sep-14,Texas,Flour Bluff,1,3
15-Sep-14,Louisiana,New Orleans,5,0
18-Sep-14,Florida,Bell,0,7
19-Sep-14,New York,Queens,4,0
20-Sep-14,Mississippi,Batesville,2,2
21-Sep-14,Ohio,East Liverpool,4,0
26-Sep-14,South Carolina,Florence,4,1
27-Sep-14,Missouri,Saint Louis,5,0
28-Sep-14,Florida,Miami,15,0
28-Sep-14,Pennsylvania,Philadelphia,4,0
29-Sep-14,California,Fresno,4,0
29-Sep-14,South Carolina,Walterboro,6,1
4-Oct-14,California,Pomona,4,0
4-Oct-14,Tennessee,Memphis,2,2
5-Oct-14,Florida,Jacksonville,1,3
5-Oct-14,Michigan,Detroit,5,1
8-Oct-14,Georgia,Atlanta,4,0
8-Oct-14,New York,Guilderland,0,4
11-Oct-14,New York,Utica,4,0
12-Oct-14,California,Stockton,1,3
12-Oct-14,Georgia,Atlanta,3,1
13-Oct-14,Georgia,Atlanta,4,0
14-Oct-14,Georgia,Peachtree Corners,2,2
16-Oct-14,Michigan,Detroit,3,1
18-Oct-14,South Carolina,Graniteville,3,1
18-Oct-14,New York,Brooklyn,4,0
18-Oct-14,New York,Queens,4,0
24-Oct-14,Washington,Marysville,1,4
26-Oct-14,Kentucky,Cadiz,0,4
29-Oct-14,Tennessee,Memphis,5,0
5-Nov-14,California,San Francisco,4,0
7-Nov-14,California,Compton,4,0
7-Nov-14,California,Los Angeles,4,0
8-Nov-14,California,Pomona,5,0
15-Nov-14,Florida,Miami,3,1
15-Nov-14,Missouri,Springfield,0,4
16-Nov-14,Texas,El Paso,5,0
16-Nov-14,Ohio,Akron,4,1
18-Nov-14,Nevada,North Las Vegas,4,0
19-Nov-14,Illinois,Chicago,3,1
21-Nov-14,Pennsylvania,Pittsburgh,6,0
22-Nov-14,Ohio,Springfield,3,1
22-Nov-14,South Dakota,Sisseton,1,3
22-Nov-14,Ohio,Cleveland,1,4
23-Nov-14,Colorado,Denver,4,1
23-Nov-14,Virginia,Parksley,4,0
26-Nov-14,California,San Francisco,6,0
